cooling_features,cooling.map
,-1
Buyer To Verify,-1
Fan/mini Splits,-1
Gas,-1
Heat Pump,-1
"Heat Pump, 2 Units",-1
Other,-1
See Remarks,-1
"See Remarks, Attic Fan",-1
Solar,-1
AC Central,1
"AC Central, 2-units",1
"AC Central, AC Wall, AC Zoned, Ceiling Fans Pre-Wired",1
"AC Central, AC Wall, Ceiling Fans",1
"AC Central, AC Zoned",1
"AC Central, AC Zoned, Ceiling Fans Pre-Wired, Two Ac",1
"AC Central, AC Zoned, Ceiling Fans, 2 Cooling Units",1
"AC Central, AC Zoned, Ceiling Fans, Dual Cooling",1
"AC Central, Ceiling Fans",1
"AC Central, Ceiling Fans Pre-Wired",1
"AC Central, Ceiling Fans Pre-Wired, Heat Pump",1
"AC Central, Ceiling Fans, Dual Cooling, Heat Pump",1
"AC Central, Ceiling Fans, Energy Star Qualified Equipment",1
"AC Central, Ceiling Fans, Evap Central, Heat Pump",1
"AC Central, Ceiling Fans, Heat Pump",1
"AC Central, Ceiling Fans, Heat Pump, Evap Guest House",1
"AC Central, Ceiling Fans, Mini-split In Famrm",1
"AC Central, Ceiling Fans, Mini Split",1
"AC Central, Ceiling Fans, Minisplit",1
"AC Central, Dual Cooling",1
"AC Central, Energy Star Qualified Equipment",1
"AC Central, Evap Central",1
"AC Central, Evap Zone",1
"AC Central, Gas Pac",1
"AC Central, Heat Pump",1
"AC Central, Heat Pump, 2 Ac Central Units",1
AC Wall,1
"AC Wall, Ceiling Fans",1
"AC Wall, Ceiling Fans, Evap Central",1
"AC Wall, Evap Central",1
"AC Zoned, Ceiling Fans",1
"AC Zoned, Ceiling Fans, 3 Units",1
"AC Zoned, Ceiling Fans, Heat Pump",1
"AC Zoned, Heat Pump",1
"Ceiling Fan(s), Central Air",1
"Ceiling Fan(s), Central Air, Attic Fan",1
"Ceiling Fan(s), Central Air, ENERGY STAR Qualified Equipment",1
"Ceiling Fan(s), Central Air, Other",1
"Ceiling Fan(s), Central Air, Wall/Window Unit(s)",1
"Ceiling Fan(s), Central Air, Whole House Fan",1
"Ceiling Fan(s), Room Air",1
"Ceiling Fans, Ac Combo",1
Central,1
Central Air,1
"Central Air, Attic Fan",1
"Central Air, Ceiling Fan(s)",1
"Central Air, Dual",1
"Central Air, Dual, Electric",1
"Central Air, Dual, Electric, Gas",1
"Central Air, Dual, Electric, Zoned",1
"Central Air, Dual, Evaporative Cooling, Gas",1
"Central Air, Dual, Gas",1
"Central Air, Dual, Heat Pump",1
"Central Air, Dual, See Remarks",1
"Central Air, Dual, Whole House Fan, Attic Fan",1
"Central Air, Dual, Zoned",1
"Central Air, Dual, Zoned, Electric",1
"Central Air, Dual, Zoned, ENERGY STAR Qualified Equipment, High Efficiency, See Remarks",1
"Central Air, Dual, Zoned, Gas",1
"Central Air, Dual, Zoned, Whole House Fan",1
"Central Air, Electric",1
"Central Air, Electric, Attic Fan",1
"Central Air, Electric, ENERGY STAR Qualified Equipment",1
"Central Air, Electric, ENERGY STAR Qualified Equipment, See Remarks",1
