zip,zip.map
94027,41
90210,28
92661,27
93108,26
92662,25
94028,23
90265,22
94304,22
94957,22
94920,22
92625,21
93920,21
90272,21
90402,21
92657,21
92067,20
94301,20
92651,19
90077,19
94022,19
94123,18
95030,17
90049,17
93953,17
94305,17
90742,17
94970,16
94024,16
92091,15
95070,15
94010,14
92663,14
92660,14
90274,14
94306,14
94118,13
94904,13
92014,13
94506,13
94946,13
93067,13
93923,13
92118,13
93921,12
94104,12
94062,12
94060,12
92037,12
91436,12
90254,12
94941,12
91011,12
94114,12
90291,11
94507,11
94939,11
94020,11
94574,11
95014,11
91302,11
94025,11
95032,11
94040,11
94115,11
90048,11
90036,10
92861,10
93103,10
93109,10
94402,10
90405,10
94127,10
94925,10
94965,10
94705,10
92075,10
94133,10
92603,10
90064,10
90046,10
94117,10
94963,10
90024,10
90275,10
90266,9
94070,9
94121,9
93105,9
93460,9
94030,9
90403,9
94618,9
95120,9
94087,9
93110,9
95441,9
90290,9
90401,9
94599,9
91008,9
94111,9
90035,9
94041,9
91604,9
93430,9
94539,9
94002,9
94707,9
94131,9
90211,9
94105,9
90067,9
94586,9
94708,9
94065,9
94549,9
90068,9
95033,9
95129,9
93066,9
94108,9
91105,9
94158,9
94960,9
95412,8
92007,8
95140,8
90027,8
93424,8
95497,8
94110,8
94901,8
94303,8
93924,8
90740,8
94611,8
92130,8
90277,8
94923,8
94061,8
92648,8
94019,8
94109,8
92602,8
92106,8
91361,8
94956,8
92672,8
94122,8
92624,8
90245,8
94018,8
94404,8
90066,8
94116,8
94403,8
92629,8
90069,8
90292,8
91030,8
90004,8
96145,8
92673,8
91403,8
95046,8
94566,8
94938,8
93101,8
94937,8
94038,8
95138,7
94929,7
94037,7
93111,7
90803,7
92590,7
93441,7
95125,7
90232,7
91207,7
94107,7
91423,7
94973,7
90034,7
91007,7
93449,7
92024,7
93432,7
94132,7
94583,7
92679,7
95003,7
92618,7
95465,7
94526,7
93463,7
96141,7
95130,7
95073,7
94930,7
92649,7
91006,7
92705,7
94582,7
90045,7
94086,7
91208,7
93950,7
95135,7
91024,7
95442,7
94933,7
95724,7
90720,7
92210,7
92620,7
90505,7
95060,7
94610,7
94709,7
95066,7
94903,7
90404,7
92887,7
93013,7
92109,7
90094,7
94704,7
95008,7
93428,7
90038,7
94951,7
90056,7
90025,7
92107,7
90704,7
95124,7
90028,7
94103,7
90278,7
95448,7
91356,7
91364,7
96146,7
94552,7
94502,7
90010,6
90019,6
95452,6
94949,6
91301,6
96140,6
95065,6
91107,6
93908,6
94971,6
94043,6
95746,6
92677,6
95051,6
91362,6
90039,6
92009,6
92127,6
93117,6
94588,6
94595,6
95117,6
92646,6
92011,6
95472,6
92823,6
94112,6
95062,6
92886,6
94945,6
92008,6
92835,6
90503,6
94005,6
91602,6
94703,6
95450,6
95037,6
91775,6
94134,6
92131,6
93940,6
91377,6
92782,6
94501,6
91108,6
92059,6
92606,6
95010,6
96142,6
95118,6
94102,6
94044,6
92694,6
95460,6
95054,6
94706,6
94089,6
95050,6
92627,6
95128,6
94515,6
92675,6
94066,6
91607,6
94401,6
94568,6
91326,6
92604,6
94523,6
91381,6
95126,6
95476,6
92708,6
92647,6
91214,6
92626,6
93023,6
92808,6
93405,6
90293,6
93401,6
91501,6
94952,6
94063,6
92653,6
90005,6
95148,6
94602,5
91201,5
91001,5
94085,5
94080,5
94597,5
94947,5
93420,5
95002,5
91789,5
95136,5
91104,5
92676,5
90703,5
91202,5
95119,5
92692,5
92612,5
92103,5
92610,5
94015,5
94702,5
91320,5
90230,5
90814,5
92867,5
92614,5
92807,5
91504,5
94542,5
95132,5
92129,5
96161,5
92869,5
90041,5
94508,5
95618,5
94555,5
91206,5
91367,5
94014,5
94596,5
95830,5
94710,5
95570,5
94550,5
95035,5
92821,5
91506,5
95616,5
91106,5
95439,5
90026,5
91401,5
90623,5
91307,5
92029,5
91103,5
95131,5
91935,5
94536,5
90017,5
95134,5
91360,5
91741,5
95139,5
92691,5
93001,5
92064,5
95837,5
92121,5
95668,5
94609,5
94567,5
95728,5
94124,5
93021,5
92630,5
91780,5
90732,5
95123,5
94619,5
91505,5
93442,5
91765,5
95005,5
92870,5
93035,5
90630,5
95693,5
92010,5
91711,5
91020,5
90501,5
90815,5
93465,5
92845,5
92122,5
91390,5
95658,5
91901,5
92270,5
91016,5
90065,5
90717,5
91316,5
92003,5
90808,5
92683,5
90008,5
96148,5
92831,5
93427,5
93444,5
95762,5
90015,5
90504,5
95133,5
93962,5
91325,5
95045,5
91601,5
91914,5
93010,5
94587,5
94546,5
94538,5
91750,5
95410,5
95018,5
93012,5
90029,5
91748,5
92866,5
93664,5
91304,4
91311,4
92780,4
95023,4
90006,4
93510,4
95819,4
92082,4
91411,4
90807,4
92061,4
94558,4
95646,4
94560,4
90020,4
95409,4
91754,4
95121,4
95663,4
93426,4
91776,4
91324,4
95020,4
93604,4
91101,4
93022,4
92124,4
95006,4
95816,4
91902,4
95818,4
95112,4
92688,4
92656,4
91773,4
95404,4
91745,4
92833,4
91791,4
93065,4
92054,4
92865,4
90731,4
91801,4
91803,4
92655,4
91344,4
91784,4
92128,4
95721,4
93003,4
95650,4
90240,4
95459,4
93063,4
95421,4
91755,4
91941,4
92110,4
93004,4
95004,4
91354,4
92117,4
90603,4
93402,4
95436,4
92706,4
91724,4
92120,4
92078,4
95638,4
91709,4
95456,4
95659,4
94954,4
94551,4
92806,4
96143,4
90631,4
90713,4
92028,4
90042,4
92841,4
95672,4
91770,4
91355,4
90710,4
90250,4
93453,4
94510,4
91502,4
90241,4
90621,4
95722,4
95127,4
95405,4
90638,4
90755,4
91205,4
91739,4
91040,4
91384,4
95110,4
90712,4
92253,4
95959,4
94577,4
90620,4
93422,4
93433,4
95630,4
91350,4
96150,4
92119,4
92832,4
95444,4
91042,4
94559,4
95492,4
91740,4
95938,4
95445,4
91737,4
91204,4
90601,4
92840,4
92116,4
95542,4
90007,4
90602,4
94579,4
95433,4
94565,4
91387,4
90248,4
95524,4
92804,4
95419,4
90013,4
92802,4
92070,4
93440,4
92123,4
93730,4
95076,4
95683,4
92065,4
90746,4
95547,4
92066,4
92843,4
92019,4
95111,4
95814,4
90701,4
95811,4
90249,4
90018,4
93529,4
92352,4
90640,4
90012,4
93933,4
90260,4
90043,4
93546,4
95664,4
93446,4
91606,4
90016,4
95446,4
95425,4
92081,4
91343,4
90715,4
95682,4
91203,4
90604,4
95602,4
95864,4
91406,4
91723,4
94608,4
94931,4
91010,4
92880,4
93626,4
95462,4
92111,4
95304,4
92373,4
91913,4
90031,3
91790,3
91915,3
94513,3
94531,3
92805,3
95403,3
92844,3
92860,3
93036,3
90305,3
92084,3
92704,3
91731,3
91306,3
90242,3
92801,3
96106,3
95651,3
92069,3
90021,3
92868,3
92020,3
91792,3
90804,3
90605,3
93445,3
94580,3
91916,3
92104,3
95684,3
95220,3
94605,3
95623,3
94545,3
95470,3
94503,3
94578,3
95703,3
90014,3
90247,3
93030,3
95765,3
92881,3
95391,3
93955,3
95946,3
92086,3
91732,3
95949,3
95603,3
95747,3
95661,3
92040,3
90032,3
91321,3
90806,3
92056,3
90706,3
93455,3
94541,3
95831,3
91352,3
91701,3
91978,3
90502,3
91733,3
90745,3
92025,3
95437,3
94505,3
90057,3
91345,3
92026,3
93651,3
92115,3
92883,3
95975,3
94928,3
92260,3
95614,3
93619,3
92561,3
94598,3
94804,3
92262,3
95122,3
91605,3
94553,3
93901,3
91708,3
91942,3
95389,3
91405,3
95648,3
95116,3
91351,3
91335,3
95254,3
94534,3
94606,3
91303,3
90304,3
91342,3
94607,3
91752,3
93907,3
90670,3
91722,3
92211,3
90606,3
92021,3
92071,3
95628,3
92703,3
95573,3
90660,3
95454,3
96120,3
94592,3
94544,3
95519,3
95667,3
95709,3
92508,3
90744,3
90303,3
93015,3
94612,3
92057,3
92264,3
90022,3
95482,3
92315,3
95694,3
92036,3
90680,3
95973,3
95631,3
95776,3
91917,3
91962,3
95635,3
91702,3
95521,3
95677,3
95669,3
93033,3
92707,3
95674,3
95701,3
91746,3
95742,3
91710,3
91910,3
90650,3
95246,3
93314,3
95918,3
95688,3
95713,3
95227,3
94509,3
93271,3
92506,3
90302,3
92058,3
95633,3
93451,3
94801,3
92882,3
93060,3
93531,3
95401,3
95608,3
95528,3
95536,3
90201,3
90033,3
90810,3
95228,3
95407,3
90040,3
95757,3
91759,3
95247,3
95928,3
95945,3
90062,3
92004,3
93602,3
91744,3
95039,3
91963,3
91786,3
95589,3
92592,3
92108,3
92027,3
94803,3
92203,3
91932,3
95714,3
93737,3
92549,3
95620,3
91706,3
95313,3
95230,3
94521,3
95366,3
90047,3
95525,3
95690,3
90063,3
92060,3
95662,3
95685,3
90280,3
93711,3
92083,3
95236,3
95926,3
95222,3
90805,3
90255,3
92701,3
90802,3
90037,3
90023,3
90301,3
90270,3
95636,3
91977,3
95627,3
93667,3
93723,3
95377,3
95601,3
92354,3
95629,3
91766,3
95019,3
93041,3
95735,3
93514,3
95258,3
92591,3
92154,3
91768,3
95695,3
93265,3
95615,3
95691,3
95619,3
95540,3
91331,3
92336,3
95678,3
91402,3
91911,3
91767,3
95503,3
95223,3
91340,3
96137,3
92102,3
95634,3
95977,3
90262,3
95624,3
95242,3
95960,3
90723,3
95655,3
93436,3
90813,3
95687,3
91730,3
91761,3
93636,3
95306,3
92397,3
91945,3
95642,3
90044,3
95835,3
94561,3
92879,3
95249,2
92596,2
95012,2
92562,2
93551,2
93720,2
95640,2
95467,2
92536,2
92563,2
94591,2
96067,2
95726,2
95641,2
93601,2
90716,2
95252,2
95665,2
95829,2
93906,2
93040,2
91763,2
94601,2
95942,2
95224,2
93611,2
95821,2
95323,2
92399,2
94571,2
90011,2
95320,2
90221,2
90058,2
92114,2
95219,2
93454,2
95233,2
90220,2
92313,2
96126,2
90061,2
95490,2
92305,2
92532,2
95501,2
95758,2
92139,2
95337,2
95689,2
95914,2
92595,2
95245,2
92374,2
95361,2
95969,2
91762,2
92105,2
95834,2
93614,2
91906,2
92385,2
95670,2
95681,2
92507,2
93631,2
92503,2
93644,2
92333,2
92587,2
95610,2
93643,2
95912,2
92584,2
93222,2
91950,2
96103,2
93544,2
92173,2
93311,2
91905,2
93312,2
95338,2
92505,2
95993,2
95316,2
93561,2
90001,2
90059,2
90003,2
93653,2
92314,2
92377,2
93458,2
94585,2
92223,2
95632,2
94806,2
95825,2
94511,2
92504,2
92320,2
92509,2
93536,2
95843,2
95326,2
91764,2
92234,2
95826,2
90222,2
93434,2
92346,2
95686,2
95212,2
95666,2
92539,2
95817,2
95692,2
92555,2
92268,2
96124,2
92372,2
95485,2
95329,2
95382,2
92337,2
90002,2
93532,2
94533,2
92359,2
95356,2
93675,2
92585,2
95451,2
92501,2
93926,2
92113,2
95237,2
93243,2
96022,2
95963,2
95562,2
95567,2
93625,2
93925,2
95982,2
94603,2
92567,2
95932,2
95626,2
95954,2
92391,2
93238,2
95621,2
95453,2
92570,2
93291,2
93905,2
95311,2
95357,2
93930,2
95376,2
95822,2
94589,2
95209,2
95936,2
95962,2
95461,2
95355,2
96002,2
95827,2
95330,2
93960,2
93242,2
96020,2
95971,2
93517,2
92344,2
95966,2
93727,2
93669,2
95957,2
95469,2
95917,2
93704,2
93628,2
93245,2
95965,2
93553,2
95457,2
95255,2
92407,2
93710,2
95987,2
95231,2
95240,2
95336,2
93609,2
94590,2
93221,2
92325,2
93657,2
93654,2
92201,2
93927,2
95841,2
95374,2
92557,2
95833,2
95948,2
92339,2
95257,2
93313,2
92530,2
94621,2
95991,2
95367,2
95368,2
95961,2
96052,2
93292,2
92582,2
93518,2
93630,2
92382,2
93722,2
93230,2
93612,2
95645,2
93277,2
93555,2
95673,2
96094,2
93552,2
92321,2
93210,2
93656,2
96001,2
93618,2
92408,2
96024,2
95953,2
92316,2
95605,2
92317,2
96114,2
95820,2
96125,2
92371,2
92335,2
92307,2
93641,2
92548,2
92571,2
95363,2
92551,2
95531,2
92342,2
93662,2
93543,2
96091,2
93225,2
92376,2
95832,2
92322,2
95935,2
95901,2
92378,2
95981,2
93286,2
92251,2
92241,2
93616,2
93668,2
95930,2
95925,2
95828,2
93560,2
95386,2
96057,2
95380,2
92220,2
93263,2
92256,2
95941,2
92545,2
92308,2
95842,2
93622,2
95307,2
92358,2
93274,2
95350,2
93637,1
95968,1
92544,1
92341,1
96093,1
95922,1
92284,1
92386,1
93306,1
92324,1
96121,1
96032,1
95916,1
92252,1
93257,1
93308,1
93247,1
96097,1
92276,1
93527,1
95988,1
91934,1
92553,1
96027,1
92249,1
95360,1
92404,1
93646,1
93640,1
95426,1
96118,1
93309,1
92225,1
93301,1
96122,1
93270,1
92586,1
95823,1
92392,1
92236,1
95947,1
93250,1
93550,1
96041,1
93215,1
95838,1
92345,1
95919,1
92583,1
92243,1
93280,1
93647,1
92231,1
96025,1
93610,1
96117,1
93726,1
96128,1
93660,1
96038,1
93650,1
92394,1
93223,1
95443,1
93648,1
92405,1
95660,1
93267,1
95354,1
93725,1
92227,1
92395,1
93534,1
93705,1
93202,1
93535,1
95207,1
95348,1
95815,1
95824,1
92250,1
95215,1
95328,1
93240,1
92410,1
95358,1
95324,1
96107,1
92356,1
96130,1
96050,1
93252,1
95458,1
93234,1
93203,1
95340,1
95210,1
93728,1
96064,1
92282,1
95333,1
96056,1
95423,1
92363,1
93255,1
93635,1
93285,1
93615,1
93703,1
95424,1
95334,1
95951,1
93638,1
93206,1
92543,1
95206,1
92277,1
93235,1
93706,1
92240,1
92311,1
93268,1
95322,1
95301,1
92230,1
95315,1
92301,1
93204,1
95675,1
92401,1
95204,1
92242,1
93283,1
93249,1
92411,1
93205,1
93212,1
93505,1
93304,1
95351,1
95978,1
92233,1
95464,1
93620,1
96044,1
93307,1
93305,1
92327,1
95202,1
92365,1
92285,1
95422,1
92258,1
93256,1
93241,1
95319,1
93219,1
95203,1
93721,1
95388,1
92254,1
96109,1
95341,1
93701,1
92398,1
93702,1
92368,1
92274,1
95365,1
93501,1
96101,1
95205,1
96039,1
96009,1
96113,1
92347,1
93523,1
96134,1
96023,1
93562,1
96058,0
93516,0
92126,-1
92101,-1
96003,-1
94520,-1
96080,-1
95370,-1
92637,-1
94530,-1
94518,-1
96007,-1
94547,-1
94563,-1
94519,-1
90212,-1
96021,-1
94556,-1
94517,-1
92617,-1
96019,-1
95327,-1
95383,-1
96088,-1
95321,-1
96073,-1
93591,-1
96013,-1
95379,-1
96055,-1
95113,-1
94129,-1
95310,-1
95560,-1
95372,-1
96035,-1
95428,-1
93272,-1
93545,-1
93513,-1
96008,-1
96051,-1
94924,-1
96028,-1
95551,-1
95449,-1
95346,-1
93261,-1
95612,-1
92273,-1
95955,-1
96062,-1
95064,-1
96069,-1
95553,-1
93461,-1
96087,-1
95017,-1
93266,-1
